DataPoint #,Frame Axle Mount Inset,Frame FCC Loading Style,Frame FCC Loading Style - Flush,Frame FCC Loading Style - Hanging,Frame Overbody Height,Frame Shape,Frame Shape - Box,Frame Shape - MUTT,Frame Shape - Protector,Frame Shape - SMSS,Frame Underbody Length,Frame Underbody Width,Offload Generator Present,Offload Generator Height,Offload Generator Length,Offload Generator Width,Running Gear Type,Running Gear Type - Four-Wheeled,Running Gear Type - Six-Wheeled,Running Gear Type - Eight-Wheeled,Running Gear Type - Oval Track,Running Gear Type - Trapazoidal Track,Running Gear Type - Parallelogram Track,Running Gear Type - Mattrack,Running Gear Back Mount Inset,Running Gear Front Mount Inset,Running Gear Drive Gear Radius,Running Gear Drive Gear Radius - 5,Running Gear Drive Gear Radius - 6,Running Gear Drive Gear Radius - 7,Running Gear Drive Gear Width,Running Gear Track Thickness,Running Gear Track Width,Running Gear Mattrack Ground Contract Length,Running Gear Mattrack Inset Length,Running Gear Mattrack Length,Running Gear Mattrack Track Width,Running Gear Road Wheel Radius,Running Gear Road Wheel Radius - 3.5,Running Gear Road Wheel Radius - 4,Running Gear Road Wheel Radius - 5,Running Gear Road Wheel Radius - 6,Running Gear Road Wheel Radius - 7,Running Gear Road Wheel Width,Running Gear Wheel Contact Patch Arc,Running Gear Wheel Radius,Running Gear Wheel Width,Steering Type Name,Steering Type Name - Pivot,Steering Type Name - Skid,Steering Type Name - Single Ackerman,Steering Type Name - Dual Ackerman,Winch Present,Winch Stowed Width,Back Deck Overhang in,Running Gear Contact Patch Area in2,SMET FCC Length in,SMET FCC CtoC Turning Diameter in
96,6,1,1,0,4,2,0,1,0,0,112,21,1,16.863,36.732,26.992,2,0,1,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,2,0,1,0,0,1,4.284,7,95.28136359,126,127.7380131
97,12,2,0,1,32,4,0,0,0,1,132,22,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,18,1,2,0,1,0,0,0,0,21,0,174,185.3968716
98,2,1,1,0,6,2,0,1,0,0,95,35,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,15,1,1,1,0,0,0,1,4.762,31,0,157,157
99,3,1,1,0,17,2,0,1,0,0,47,45,2,0,0,0,6,0,0,0,0,0,1,0,23,9,3,0,0,1,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,18,1,3,0,0,1,0,0,0,20,545.16,73,110.6243092
100,14,2,0,1,17,2,0,1,0,0,100,56,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,13,1,2,0,1,0,0,1,3.649,19,0,138,177.7301325
101,11,2,0,1,18,3,0,0,1,0,40,34,1,32.363,30.355,26.811,5,0,0,0,0,1,0,0,8,7,2,0,1,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,14,1,1,1,0,0,0,0,0,0,504,40,91.23595782
102,7,2,0,1,21,2,0,1,0,0,63,30,2,0,0,0,6,0,0,0,0,0,1,0,23,8,2,0,1,0,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,15,1,4,0,0,0,1,0,0,16,742.74,80,75.25111157
103,13,2,0,1,11,2,0,1,0,0,45,45,1,24.181,31.372,12.304,4,0,0,0,1,0,0,0,6,8,2,0,1,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,16,1,3,0,0,1,0,1,7.876,0,0,52.876,82.4600457
104,1,1,1,0,25,2,0,1,0,0,70,46,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,14,1,4,0,0,0,1,1,8.118,32,0,134,133.9811344
105,9,2,0,1,0,1,1,0,0,0,38,46,2,0,0,0,6,0,0,0,0,0,1,0,14,8,2,0,1,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,15,1,1,1,0,0,0,1,2.66,5,336,45.66,104.5028019
106,7,2,0,1,22,2,0,1,0,0,101,55,2,0,0,0,6,0,0,0,0,0,1,0,22,6,1,1,0,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,12,1,2,0,1,0,0,0,0,15,1717.632,116,191.2066944
107,14,2,0,1,12,4,0,0,0,1,44,54,1,25.859,37.269,25.159,5,0,0,0,0,1,0,0,7,8,3,0,0,1,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,12,1,4,0,0,0,1,0,0,0,480,44,182.877914
108,12,2,0,1,0,1,1,0,0,0,70,40,1,39.54,27.356,18.932,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,14,1,4,0,0,0,1,0,0,21,0,112,128.3990027
109,15,2,0,1,27,3,0,0,1,0,118,34,2,0,0,0,3,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,3,0,0,1,0,0,0,0,136.8142657,118,166.6711392
110,9,1,1,0,0,1,1,0,0,0,69,55,2,0,0,0,3,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,2,0,1,0,0,1,4.482,5,136.8142657,79,135.4289482
111,13,1,1,0,0,1,1,0,0,0,66,51,2,0,0,0,5,0,0,0,0,1,0,0,6,6,1,1,0,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,20,1,4,0,0,0,1,0,0,0,1200,66,171.694785
112,3,2,0,1,32,3,0,0,1,0,59,26,1,27.757,37.755,27.411,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,3,0,0,1,0,1,5.282,11,68.40713283,81,119.3814815
113,15,2,0,1,23,4,0,0,0,1,112,18,2,0,0,0,3,0,0,1,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,4,0,0,0,1,1,6.175,4,185.6765034,122.175,92.65359893
114,5,1,1,0,25,2,0,1,0,0,63,43,1,27.992,35.549,15.094,5,0,0,0,0,1,0,0,7,9,3,0,0,1,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,13,1,3,0,0,1,0,1,4.988,2,1590,69.988,123.4411801
115,6,1,1,0,8,2,0,1,0,0,47,41,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,15,1,4,0,0,0,1,0,0,27,0,101,62.60793683
116,3,1,1,0,19,3,0,0,1,0,82,30,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,11,1,1,1,0,0,0,1,7.441,30,0,142,145.1344205
117,13,1,1,0,23,3,0,0,1,0,128,25,2,0,0,0,5,0,0,0,0,1,0,0,7,8,2,0,1,0,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,11,1,1,1,0,0,0,1,2.173,0,3060,130.173,141.3152855
118,5,1,1,0,8,2,0,1,0,0,73,37,1,22.837,32.973,22.572,5,0,0,0,0,1,0,0,6,7,1,1,0,0,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,14,1,4,0,0,0,1,1,7.284,1,1890,81.284,90.8942863
119,9,1,1,0,5,2,0,1,0,0,98,55,2,0,0,0,4,0,0,0,1,0,0,0,8,6,1,1,0,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,15,1,3,0,0,1,0,0,0,0,0,98,167.7791398
120,11,1,1,0,0,1,1,0,0,0,66,39,1,39.76,34.164,19.826,5,0,0,0,0,1,0,0,7,9,3,0,0,1,13,2,14,0,0,0,0,3,0,0,1,0,0,0,0,14,1,2,0,1,0,0,1,3.753,0,1232,69.753,138.8001477
121,2,1,1,0,0,1,1,0,0,0,119,45,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,20,1,2,0,1,0,0,0,0,31,0,181,202.1410399
122,4,1,1,0,25,2,0,1,0,0,52,54,2,0,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,1,1,0,0,0,0,0,7,80.62269227,66,85.27602242
123,4,2,0,1,9,2,0,1,0,0,44,46,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,18,1,3,0,0,1,0,1,6.827,29,0,102,90.45061291
124,2,1,1,0,7,4,0,0,0,1,112,28,1,16.983,33.039,23.094,2,0,1,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,4,0,0,0,1,0,0,17,139.2573776,146,104.2754718
125,5,2,0,1,32,2,0,1,0,0,114,23,2,0,0,0,3,0,0,1,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,3,0,0,1,0,0,0,13,175.9040559,140,138.9749827
126,6,2,0,1,27,2,0,1,0,0,46,27,2,0,0,0,2,0,1,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,3,0,0,1,0,1,8.028,11,124.5987062,68,57.39566741
127,10,2,0,1,9,4,0,0,0,1,53,55,2,0,0,0,6,0,0,0,0,0,1,0,17,7,1,1,0,0,13,2,14,0,0,0,0,3,0,0,1,0,0,0,0,15,1,3,0,0,1,0,1,6.055,7,508.816,66.055,212.7463952
128,15,1,1,0,1,2,0,1,0,0,106,26,2,0,0,0,1,1,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,3,0,0,1,0,1,2.768,3,87.95202793,112,93.94325656
129,3,1,1,0,0,4,0,0,0,1,78,48,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,11,1,4,0,0,0,1,1,5.34,30,0,138,140.4506129
130,7,1,1,0,0,1,1,0,0,0,55,38,2,0,0,0,2,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,1,1,0,0,0,1,6.218,13,146.5867132,81,89.47066558
131,15,1,1,0,14,4,0,0,0,1,98,55,1,39.62,24.04,28.344,5,0,0,0,0,1,0,0,4.5,7,2,0,1,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,18,1,2,0,1,0,0,1,3.276,0,1904,101.276,182.649468
132,0,1,1,0,30,3,0,0,1,0,89,51,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,11,1,3,0,0,1,0,0,0,33,0,155,211.891793
133,6,2,0,1,0,1,1,0,0,0,89,55,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,11,1,1,1,0,0,0,0,0,27,0,143,161.4744562
134,10,2,0,1,0,1,1,0,0,0,84,28,1,25.115,37.11,28.736,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,1,1,0,0,0,0,0,4,68.40713283,92,103.7689742
135,3,1,1,0,0,1,1,0,0,0,126,48,1,34.785,35.438,27.242,3,0,0,1,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,4,0,0,0,1,1,2.699,12,146.5867132,150,149.6394131
136,15,2,0,1,5,3,0,0,1,0,37,38,1,26.224,31.221,16.208,6,0,0,0,0,0,1,0,19,7,2,0,1,0,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,17,1,3,0,0,1,0,0,0,4,-354.84,41,149.6431747
137,1,1,1,0,12,4,0,0,0,1,68,30,1,29.635,35.324,16.353,1,1,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,3,0,0,1,0,0,0,16,83.06580416,100,119.0033544
138,9,2,0,1,15,3,0,0,1,0,76,28,2,0,0,0,2,0,1,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,3,0,0,1,0,1,6.441,5,102.6106993,87.441,127.8514326
139,10,1,1,0,1,2,0,1,0,0,81,31,1,32.243,29.007,27.952,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,15,1,1,1,0,0,0,1,7.117,23,0,127,127
140,0,2,0,1,2,4,0,0,0,1,109,43,2,0,0,0,1,1,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,2,0,1,0,0,1,6.01,16,78.17958038,141,176.4001134
141,11,1,1,0,33,3,0,0,1,0,60,42,2,0,0,0,3,0,0,1,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,3,0,0,1,0,1,2.875,8,185.6765034,76,117.9716283
142,8,1,1,0,21,4,0,0,0,1,59,55,1,21.628,24.661,18.997,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,25,0,109,122.0901306
143,4,1,1,0,2,2,0,1,0,0,81,46,2,0,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,1,1,0,0,0,1,8.589,7,80.62269227,96.589,96.589
144,2,2,0,1,0,1,1,0,0,0,65,26,2,0,0,0,2,0,1,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,4,0,0,0,1,0,0,17,139.2573776,99,99.26670165
145,9,2,0,1,0,4,0,0,0,1,111,28,2,0,0,0,3,0,0,1,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,2,0,1,0,0,1,3.846,10,185.6765034,131,151.4496616
146,10,1,1,0,9,2,0,1,0,0,72,56,1,16.164,33.425,13.62,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,1,8.633,2,87.95202793,82.633,79.24374567
147,6,1,1,0,0,1,1,0,0,0,88,24,1,28.591,28.442,24.871,3,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,4,0,0,0,1,1,3.245,8,136.8142657,104,81.97162828
148,3,1,1,0,24,2,0,1,0,0,128,50,1,29.59,30.244,18.406,5,0,0,0,0,1,0,0,5,7,2,0,1,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,16,1,1,1,0,0,0,1,2.539,2,3416,134,155.0483795
149,13,2,0,1,0,1,1,0,0,0,101,53,1,21.468,29.723,28.766,4,0,0,0,1,0,0,0,9,8,2,0,1,0,13,2,14,0,0,0,0,5,0,0,0,0,1,0,0,13,1,4,0,0,0,1,0,0,0,0,101,214.3027218
150,12,2,0,1,0,1,1,0,0,0,62,42,1,23.102,25.586,21.098,5,0,0,0,0,1,0,0,8,9,3,0,0,1,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,16,1,1,1,0,0,0,1,2.421,0,1140,64.421,112.3123557
151,2,1,1,0,3,3,0,0,1,0,73,50,2,0,0,0,5,0,0,0,0,1,0,0,6,6,1,1,0,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,17,1,4,0,0,0,1,0,0,4,2070,81,187.598504
152,11,1,1,0,30,2,0,1,0,0,96,54,1,28.516,33.686,24.372,5,0,0,0,0,1,0,0,7,9,3,0,0,1,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,15,1,3,0,0,1,0,0,0,0,2220,96,244.3707043
153,9,1,1,0,0,1,1,0,0,0,42,28,1,26.174,28.437,28.341,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,14,1,3,0,0,1,0,1,7.688,24,0,90,85.63374194
154,13,1,1,0,0,1,1,0,0,0,112,28,1,23.671,29.351,18.68,5,0,0,0,0,1,0,0,7,6,1,1,0,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,12,1,4,0,0,0,1,0,0,0,2408,112,151.0937876
155,9,1,1,0,31,3,0,0,1,0,80,22,1,18.047,30.13,19.143,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,20,1,1,1,0,0,0,1,2.084,24,0,128,129.8768648
156,14,1,1,0,18,2,0,1,0,0,74,45,2,0,0,0,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,2,0,1,0,0,0,0,0,53.74846151,74,86.60831369
157,9,2,0,1,0,1,1,0,0,0,90,58,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,13,1,2,0,1,0,0,1,8.672,24,0,138,193.7524193
158,4,1,1,0,11,2,0,1,0,0,69,22,1,17.228,37.979,11.831,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,3,0,0,1,0,0,0,8,58.63468529,85,76.53340329
159,7,2,0,1,23,4,0,0,0,1,120,47,2,0,0,0,1,1,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,3,0,0,1,0,0,0,11,87.95202793,142,208.7629631
160,13,1,1,0,25,2,0,1,0,0,123,37,2,0,0,0,4,0,0,0,1,0,0,0,8,7,1,1,0,0,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,12,1,2,0,1,0,0,1,6.457,0,0,129.457,175.8411637
161,1,2,0,1,12,3,0,0,1,0,68,52,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,17,1,2,0,1,0,0,0,0,32,0,132,181.1077028
162,1,1,1,0,5,2,0,1,0,0,88,48,1,19.615,29.578,14.369,5,0,0,0,0,1,0,0,8,8,2,0,1,0,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,11,1,1,1,0,0,0,0,0,7,2408,102,102
163,12,2,0,1,25,2,0,1,0,0,83,41,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,17,1,3,0,0,1,0,1,2.516,21,0,125,154.8496156
164,11,2,0,1,30,2,0,1,0,0,68,47,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,13,1,4,0,0,0,1,0,0,22,0,112,122.3990027
165,2,1,1,0,9,3,0,0,1,0,35,53,2,0,0,0,2,0,1,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,0,0,14,117.2693706,63,82.32860985
166,1,1,1,0,0,1,1,0,0,0,49,44,2,0,0,0,3,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,1,1,0,0,0,1,4.405,19,195.448951,87,97.49358953
167,11,1,1,0,15,3,0,0,1,0,68,25,1,37.852,35.797,15.952,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,13,1,1,1,0,0,0,1,6.829,22,0,112,114.7562634
168,4,1,1,0,8,3,0,0,1,0,34,21,1,9.915,37.903,22.649,5,0,0,0,0,1,0,0,6,8,2,0,1,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,15,1,4,0,0,0,1,0,0,2,728,40,100.0516102
169,8,2,0,1,3,2,0,1,0,0,88,44,2,0,0,0,5,0,0,0,0,1,0,0,6,7,1,1,0,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,14,1,4,0,0,0,1,1,2.725,0,2016,90.725,102.4506129
170,15,1,1,0,19,2,0,1,0,0,76,27,2,0,0,0,4,0,0,0,1,0,0,0,4.5,6,1,1,0,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,14,1,1,1,0,0,0,1,3.898,0,0,79.898,79.898
171,11,2,0,1,3,2,0,1,0,0,61,30,2,0,0,0,5,0,0,0,0,1,0,0,8,6,1,1,0,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,19,1,3,0,0,1,0,1,7.746,0,1092,68.746,92.15483066
172,9,2,0,1,32,2,0,1,0,0,109,21,2,0,0,0,2,0,1,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,1,1,0,0,0,0,0,8,124.5987062,125,126.7517258
173,4,1,1,0,0,1,1,0,0,0,90,30,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,11,1,2,0,1,0,0,0,0,29,0,148,159.6997182
174,15,1,1,0,14,2,0,1,0,0,65,44,2,0,0,0,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,4,0,0,0,1,1,7.197,1,156.3591608,73.197,59.64482881
175,3,1,1,0,1,3,0,0,1,0,91,37,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,16,1,3,0,0,1,0,0,0,30,0,151,178.952836
176,5,2,0,1,12,2,0,1,0,0,108,23,2,0,0,0,2,0,1,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,2,0,1,0,0,0,0,14,139.2573776,136,137.9311422
177,4,1,1,0,5,4,0,0,0,1,77,40,2,0,0,0,1,1,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,3,0,0,1,0,1,5.811,15,92.8382517,107,141.685325
178,7,2,0,1,8,3,0,0,1,0,81,50,1,27.527,36.186,14.687,5,0,0,0,0,1,0,0,6,8,2,0,1,0,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,13,1,4,0,0,0,1,0,0,0,2010,82,206.3637648
179,6,1,1,0,21,4,0,0,0,1,123,58,2,0,0,0,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,2,0,1,0,0,1,6.267,11,166.1316083,145,185.6906029
180,1,1,1,0,11,4,0,0,0,1,36,58,1,32.387,33.578,18.311,3,0,0,1,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,4,0,0,0,1,1,2.159,14,146.5867132,64,131.1978337
181,10,1,1,0,11,3,0,0,1,0,91,57,2,0,0,0,3,0,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,1,8.591,2,117.2693706,101.591,145.7366527
182,4,2,0,1,23,4,0,0,0,1,76,30,2,0,0,0,4,0,0,0,1,0,0,0,6,7,1,1,0,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,13,1,2,0,1,0,0,0,0,2,0,81,146.4411144
183,0,2,0,1,5,4,0,0,0,1,49,52,1,39.865,29.908,16.609,6,0,0,0,0,0,1,0,22,7,2,0,1,0,13,1,15,0,0,0,0,5,0,0,0,0,1,0,0,20,1,3,0,0,1,0,0,0,22,742.74,78,229.5022231
184,6,2,0,1,31,4,0,0,0,1,128,34,1,24.91,31.388,11.594,6,0,0,0,0,0,1,0,11.5,8,3,0,0,1,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,12,1,4,0,0,0,1,1,6.35,5.5,3103.184,139.85,201.6148764
185,1,2,0,1,33,3,0,0,1,0,80,52,1,16.209,28.828,28.341,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,17,1,1,1,0,0,0,0,0,32,0,144,160.9968944
186,13,1,1,0,23,4,0,0,0,1,90,49,1,21.533,25.419,21.345,1,1,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,3,0,0,1,0,0,0,2,73.29335661,94,155.2153739
187,9,2,0,1,11,4,0,0,0,1,37,44,2,0,0,0,6,0,0,0,0,0,1,0,13,7,2,0,1,0,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,14,1,4,0,0,0,1,1,7.147,4,330,48.147,164.7300229
188,8,2,0,1,20,4,0,0,0,1,122,37,1,37.397,26.917,29.126,6,0,0,0,0,0,1,0,11.5,7,2,0,1,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,12,1,4,0,0,0,1,0,0,3.5,2839.592,125.5,201.4411801
189,11,2,0,1,29,4,0,0,0,1,103,46,1,10.574,35.089,21.288,1,1,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,1,1,0,0,0,0,0,9,97.72447548,121,137.8296049
190,12,2,0,1,0,1,1,0,0,0,43,21,2,0,0,0,6,0,0,0,0,0,1,0,22,7,2,0,1,0,13,1,15,0,0,0,0,5,0,0,0,0,1,0,0,18,1,1,1,0,0,0,0,0,10,-157.26,53,88.60022573
191,11,1,1,0,27,4,0,0,0,1,54,48,1,29.131,24.875,21.891,4,0,0,0,1,0,0,0,5,7,2,0,1,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,20,1,4,0,0,0,1,0,0,0,0,54,157.755828
192,11,2,0,1,23,4,0,0,0,1,38,43,2,0,0,0,6,0,0,0,0,0,1,0,16,8,3,0,0,1,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,20,1,3,0,0,1,0,0,0,5,112,43,167.755828
193,14,1,1,0,2,4,0,0,0,1,118,29,1,30.529,36.067,28.193,3,0,0,1,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,3,0,0,1,0,0,0,4,175.9040559,126,138.4591196
194,15,1,1,0,26,4,0,0,0,1,51,39,2,0,0,0,4,0,0,0,1,0,0,0,5.5,8,2,0,1,0,13,2,14,0,0,0,0,1,1,0,0,0,0,0,0,15,1,3,0,0,1,0,1,5.043,0,0,56.043,145.9295242
195,0,2,0,1,12,4,0,0,0,1,131,17,1,25.205,23.583,22.687,4,0,0,0,1,0,0,0,7,7,1,1,0,0,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,11,1,1,1,0,0,0,0,0,7,0,145,159.7310239
196,15,2,0,1,20,3,0,0,1,0,106,48,1,36.164,26.135,24.007,6,0,0,0,0,0,1,0,20,9,3,0,0,1,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,12,1,3,0,0,1,0,1,3.612,5,1757.58,114.612,254.8401828
197,0,2,0,1,0,1,1,0,0,0,73,27,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,16,1,1,1,0,0,0,1,4.785,33,0,139,146.7310465
