DataPoint #,Frame Axle Mount Inset,Frame FCC Loading Style,Frame FCC Loading Style - Flush,Frame FCC Loading Style - Hanging,Frame Overbody Height,Frame Shape,Frame Shape - Box,Frame Shape - MUTT,Frame Shape - Protector,Frame Shape - SMSS,Frame Underbody Length,Frame Underbody Width,Offload Generator Present,Offload Generator Height,Offload Generator Length,Offload Generator Width,Running Gear Type,Running Gear Type - Four-Wheeled,Running Gear Type - Six-Wheeled,Running Gear Type - Eight-Wheeled,Running Gear Type - Oval Track,Running Gear Type - Trapazoidal Track,Running Gear Type - Parallelogram Track,Running Gear Type - Mattrack,Running Gear Back Mount Inset,Running Gear Front Mount Inset,Running Gear Drive Gear Radius,Running Gear Drive Gear Radius - 5,Running Gear Drive Gear Radius - 6,Running Gear Drive Gear Radius - 7,Running Gear Drive Gear Width,Running Gear Track Thickness,Running Gear Track Width,Running Gear Mattrack Ground Contract Length,Running Gear Mattrack Inset Length,Running Gear Mattrack Length,Running Gear Mattrack Track Width,Running Gear Road Wheel Radius,Running Gear Road Wheel Radius - 3.5,Running Gear Road Wheel Radius - 4,Running Gear Road Wheel Radius - 5,Running Gear Road Wheel Radius - 6,Running Gear Road Wheel Radius - 7,Running Gear Road Wheel Width,Running Gear Wheel Contact Patch Arc,Running Gear Wheel Radius,Running Gear Wheel Width,Steering Type Name,Steering Type Name - Pivot,Steering Type Name - Skid,Steering Type Name - Single Ackerman,Steering Type Name - Dual Ackerman,Winch Present,Winch Stowed Width
581,10,2,0,1,0,2,0,1,0,0,88,50,1,32.183,25.39,16.178,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,11,1,2,0,1,0,0,1,3.363
582,1,1,1,0,29,2,0,1,0,0,41,31,1,38.242,29.184,28.27,4,0,0,0,1,0,0,0,4.5,6,1,1,0,0,13,1,15,0,0,0,0,1,1,0,0,0,0,0,0,16,1,1,1,0,0,0,1,3.337
583,7,1,1,0,0,1,1,0,0,0,59,50,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,19,1,2,0,1,0,0,1,3.196
584,8,1,1,0,28,3,0,0,1,0,129,26,2,0,0,0,1,1,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,2,0,1,0,0,0,0
585,13,2,0,1,17,4,0,0,0,1,54,36,2,0,0,0,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,1,1,0,0,0,1,7.543
586,15,1,1,0,20,2,0,1,0,0,39,50,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,11,1,4,0,0,0,1,1,4.639
587,0,2,0,1,0,1,1,0,0,0,68,44,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,18,1,4,0,0,0,1,1,2.327
588,12,2,0,1,16,3,0,0,1,0,35,36,2,0,0,0,5,0,0,0,0,1,0,0,7,7,2,0,1,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,19,1,2,0,1,0,0,0,0
589,9,2,0,1,24,4,0,0,0,1,131,38,2,0,0,0,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,1,1,0,0,0,0,0
590,14,2,0,1,9,4,0,0,0,1,90,24,1,21.229,24.542,14.556,2,0,1,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,4,0,0,0,1,0,0
591,10,1,1,0,3,3,0,0,1,0,68,23,1,37.987,31.834,23.79,4,0,0,0,1,0,0,0,5.5,8,2,0,1,0,13,2,14,0,0,0,0,1,1,0,0,0,0,0,0,17,1,2,0,1,0,0,0,0
592,10,2,0,1,0,1,1,0,0,0,105,56,2,0,0,0,3,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,2,0,1,0,0,1,7.42
593,14,1,1,0,9,2,0,1,0,0,95,29,2,0,0,0,4,0,0,0,1,0,0,0,5,8,3,0,0,1,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,19,1,4,0,0,0,1,0,0
594,10,1,1,0,4,4,0,0,0,1,62,34,1,29.221,29.34,26.969,2,0,1,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,3,0,0,1,0,0,0
595,11,1,1,0,0,1,1,0,0,0,65,35,1,14.795,35.618,20.251,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,1,7.563
596,13,1,1,0,25,2,0,1,0,0,110,30,1,16.214,36.545,11.968,5,0,0,0,0,1,0,0,6,9,3,0,0,1,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,12,1,3,0,0,1,0,0,0
597,11,1,1,0,11,4,0,0,0,1,72,38,1,36.708,33.086,12.845,3,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,3,0,0,1,0,0,0
598,1,1,1,0,9,3,0,0,1,0,43,54,2,0,0,0,4,0,0,0,1,0,0,0,7,6,1,1,0,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,12,1,1,1,0,0,0,0,0
599,13,2,0,1,5,4,0,0,0,1,87,50,1,20.215,31.71,17.705,3,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,2,0,1,0,0,0,0
600,13,2,0,1,10,3,0,0,1,0,71,21,2,0,0,0,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,4,0,0,0,1,0,0
601,1,1,1,0,21,4,0,0,0,1,66,17,2,0,0,0,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,1,1,0,0,0,0,0
602,11,2,0,1,0,1,1,0,0,0,50,50,2,0,0,0,3,0,0,1,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,1,1,0,0,0,1,8.248
603,0,1,1,0,4,3,0,0,1,0,105,22,2,0,0,0,6,0,0,0,0,0,1,0,12.5,7,1,1,0,0,13,2,14,0,0,0,0,1,1,0,0,0,0,0,0,14,1,4,0,0,0,1,0,0
604,12,2,0,1,22,4,0,0,0,1,91,45,1,37.632,28.64,22.165,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,3,0,0,1,0,0,0
605,8,2,0,1,0,1,1,0,0,0,69,25,2,0,0,0,6,0,0,0,0,0,1,0,11.5,8,3,0,0,1,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,19,1,2,0,1,0,0,1,7.241
606,6,2,0,1,18,3,0,0,1,0,95,26,2,0,0,0,5,0,0,0,0,1,0,0,7,7,1,1,0,0,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,13,1,4,0,0,0,1,1,8.533
607,0,1,1,0,4,2,0,1,0,0,127,56,2,0,0,0,4,0,0,0,1,0,0,0,7,6,1,1,0,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,18,1,2,0,1,0,0,0,0
608,7,2,0,1,0,4,0,0,0,1,124,27,1,20.584,35.306,13.513,2,0,1,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,4,0,0,0,1,0,0
609,1,2,0,1,16,2,0,1,0,0,55,55,1,26.438,32.669,15.587,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,12,1,3,0,0,1,0,1,6.409
610,5,1,1,0,23,3,0,0,1,0,112,45,2,0,0,0,5,0,0,0,0,1,0,0,6,8,2,0,1,0,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,19,1,4,0,0,0,1,0,0
611,11,2,0,1,24,3,0,0,1,0,122,30,2,0,0,0,2,0,1,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,1,2.337
612,5,1,1,0,0,1,1,0,0,0,132,33,2,0,0,0,4,0,0,0,1,0,0,0,4.5,7,2,0,1,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,13,1,3,0,0,1,0,1,6.357
613,2,2,0,1,31,3,0,0,1,0,47,28,1,20.225,30.595,23.383,6,0,0,0,0,0,1,0,22,7,2,0,1,0,13,1,15,0,0,0,0,5,0,0,0,0,1,0,0,19,1,4,0,0,0,1,1,7.799
614,7,1,1,0,16,2,0,1,0,0,129,32,1,11.883,36.156,19.773,4,0,0,0,1,0,0,0,9,8,2,0,1,0,13,2,14,0,0,0,0,5,0,0,0,0,1,0,0,13,1,3,0,0,1,0,1,6.733
615,2,2,0,1,2,4,0,0,0,1,109,29,1,11.349,30.796,20.326,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,2,0,1,0,0,0,0
616,0,1,1,0,30,4,0,0,0,1,41,35,1,20.3,38.344,16.57,6,0,0,0,0,0,1,0,13,6,1,1,0,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,16,1,3,0,0,1,0,1,3.92
617,10,1,1,0,31,4,0,0,0,1,60,38,2,0,0,0,5,0,0,0,0,1,0,0,8,8,3,0,0,1,13,1,15,0,0,0,0,5,0,0,0,0,1,0,0,18,1,4,0,0,0,1,1,8.541
618,13,2,0,1,3,3,0,0,1,0,70,22,1,34.655,27.324,18.51,6,0,0,0,0,0,1,0,20,8,2,0,1,0,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,17,1,3,0,0,1,0,0,0
619,0,1,1,0,15,2,0,1,0,0,48,43,2,0,0,0,4,0,0,0,1,0,0,0,7,9,3,0,0,1,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,12,1,4,0,0,0,1,0,0
620,15,1,1,0,4,3,0,0,1,0,91,52,2,0,0,0,5,0,0,0,0,1,0,0,4.5,6,1,1,0,0,13,1,15,0,0,0,0,1,1,0,0,0,0,0,0,16,1,3,0,0,1,0,1,4.465
621,2,2,0,1,27,3,0,0,1,0,116,40,1,24.815,24.254,28.104,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,3,0,0,1,0,0,0
622,13,1,1,0,26,2,0,1,0,0,97,24,2,0,0,0,1,1,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,2,0,1,0,0,1,3.825
623,14,2,0,1,0,1,1,0,0,0,35,42,2,0,0,0,2,0,1,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,2,0,1,0,0,1,8.103
